sampleid	Study	Link	Host	Phylum	Class	Order	Family	Genus	Species	Diet	16S 515F-806R	Elevation	Latitude	Longitude	Year_Collected	Year_Given	Precipitation	Temp_Min	Temp_Max	Temp_Mean	Rel_Hum	Sun_Shine	Wind	ETo	Land_Water_Air	AquaStat_Link	Climate_Notes	Included	ExclusionReason	Captivity	GMTOL_Notes	16S515F-806R	initials	Continent
Wei-trituberculatus3	Wei_et_al_2020	https://www.sciencedirect.com/science/article/pii/S0045653520310845	Swimming Crab 	Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus_trituberculatus	Carnivore	V3-V4	5	29.6869	121.7751	2020	N	130.5833333	5.1	31.6	17.63333333	68.74166667	13149424.42	3.02	82.58333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.68694&lon=121.7751&year=2020&datasource=agera5						V3-V4	NT	Asia
Wei-trituberculatus4	Wei_et_al_2020	https://www.sciencedirect.com/science/article/pii/S0045653520310845	Swimming Crab 	Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus_trituberculatus	Carnivore	V3-V4	5	29.6869	121.7751	2020	N	130.5833333	5.1	31.6	17.63333333	68.74166667	13149424.42	3.02	82.58333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.68694&lon=121.7751&year=2020&datasource=agera5						V3-V4	NT	Asia
Wei-trituberculatus5	Wei_et_al_2020	https://www.sciencedirect.com/science/article/pii/S0045653520310845	Swimming Crab 	Arthropoda	Malacostraca	Decapoda	Portunidae	Portunus	Portunus_trituberculatus	Carnivore	V3-V4	5	29.6869	121.7751	2020	N	130.5833333	5.1	31.6	17.63333333	68.74166667	13149424.42	3.02	82.58333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.68694&lon=121.7751&year=2020&datasource=agera5						V3-V4	NT	Asia
Li-noctilio1	Li_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmicb.2021.641141/full	European woodwasp	Arthropoda	Insecta	Hymenoptera	Siricidae	Sirex	Sirex_noctilio	Fungivore	V3-V4	143	46.88	124.46	2019		43.0	-17.6	27.4	5.766666667	45.775	14482067.5	3.69	80.83333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=46.88&lon=124.46&year=2019&datasource=agera5						V3-V4	NT	Asia
Li-noctilio2	Li_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmicb.2021.641141/full	European woodwasp	Arthropoda	Insecta	Hymenoptera	Siricidae	Sirex	Sirex_noctilio	Fungivore	V3-V4	143	46.88	124.46	2019		43.0	-17.6	27.4	5.766666667	45.775	14482067.5	3.69	80.83333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=46.88&lon=124.46&year=2019&datasource=agera5						V3-V4	NT	Asia
Li-noctilio3	Li_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmicb.2021.641141/full	European woodwasp	Arthropoda	Insecta	Hymenoptera	Siricidae	Sirex	Sirex_noctilio	Fungivore	V3-V4	143	46.88	124.46	2019		43.0	-17.6	27.4	5.766666667	45.775	14482067.5	3.69	80.83333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=46.88&lon=124.46&year=2019&datasource=agera5						V3-V4	NT	Asia
Li-noctilio4	Li_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmicb.2021.641141/full	European woodwasp	Arthropoda	Insecta	Hymenoptera	Siricidae	Sirex	Sirex_noctilio	Fungivore	V3-V4	143	46.88	124.46	2019		43.0	-17.6	27.4	5.766666667	45.775	14482067.5	3.69	80.83333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=46.88&lon=124.46&year=2019&datasource=agera5						V3-V4	NT	Asia
Li-noctilio5	Li_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmicb.2021.641141/full	European woodwasp	Arthropoda	Insecta	Hymenoptera	Siricidae	Sirex	Sirex_noctilio	Fungivore	V3-V4	143	46.88	124.46	2019		43.0	-17.6	27.4	5.766666667	45.775	14482067.5	3.69	80.83333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=46.88&lon=124.46&year=2019&datasource=agera5						V3-V4	NT	Asia
Chakraborty-typographus1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_typographus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-typographus2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_typographus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-typographus3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_typographus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-typographus4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_typographus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-typographus5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_typographus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-cembrae1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_cembrae	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-cembrae2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_cembrae	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-cembrae3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_cembrae	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-cembrae4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_cembrae	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-cembrae5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-5	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_cembrae	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-sexdentatus1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-6	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_sexdentatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-sexdentatus2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-6	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_sexdentatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-sexdentatus3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-6	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_sexdentatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-sexdentatus4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-6	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_sexdentatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-sexdentatus5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-6	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_sexdentatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-acuminatus1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-7	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_acuminatus	Herbivore	V3-V4	541	49.6719	17.5289	2018		57.41666667	-7.8	24.5	8.591666667	68.675	12077836.75	3.97	65.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.671889&lon=17.528917&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-acuminatus2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-7	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_acuminatus	Herbivore	V3-V4	541	49.6719	17.5289	2018		57.41666667	-7.8	24.5	8.591666667	68.675	12077836.75	3.97	65.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.671889&lon=17.528917&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-acuminatus3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-7	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_acuminatus	Herbivore	V3-V4	541	49.6719	17.5289	2018		57.41666667	-7.8	24.5	8.591666667	68.675	12077836.75	3.97	65.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.671889&lon=17.528917&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-acuminatus4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-7	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_acuminatus	Herbivore	V3-V4	541	49.6719	17.5289	2018		57.41666667	-7.8	24.5	8.591666667	68.675	12077836.75	3.97	65.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.671889&lon=17.528917&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-acuminatus5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-7	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_acuminatus	Herbivore	V3-V4	541	49.6719	17.5289	2018		57.41666667	-7.8	24.5	8.591666667	68.675	12077836.75	3.97	65.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.671889&lon=17.528917&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-duplicatus1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-8	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_duplicatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-duplicatus2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-8	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_duplicatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-duplicatus3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-8	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_duplicatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-duplicatus4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-8	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_duplicatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-duplicatus5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-8	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Ips	Ips_duplicatus	Herbivore	V3-V4	347	49.0689	16.1043	2018		49.83333333	-6.7	27.8	10.39166667	59.675	12335169.67	3.2	74.58333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=49.068889&lon=16.104278&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-poligraphus1	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-9	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Polygraphus	Polygraphus_poligraphus	Herbivore	V3-V4	366	50.002	14.849	2018		44.41666667	-4.8	28.8	11.28333333	56.55833333	12052362.92	3.21	77.75	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.002000&lon=14.848972&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-poligraphus2	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-9	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Polygraphus	Polygraphus_poligraphus	Herbivore	V3-V4	366	50.002	14.849	2018		44.41666667	-4.8	28.8	11.28333333	56.55833333	12052362.92	3.21	77.75	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.002000&lon=14.848972&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-poligraphus3	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-9	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Polygraphus	Polygraphus_poligraphus	Herbivore	V3-V4	366	50.002	14.849	2018		44.41666667	-4.8	28.8	11.28333333	56.55833333	12052362.92	3.21	77.75	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.002000&lon=14.848972&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-poligraphus4	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-9	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Polygraphus	Polygraphus_poligraphus	Herbivore	V3-V4	366	50.002	14.849	2018		44.41666667	-4.8	28.8	11.28333333	56.55833333	12052362.92	3.21	77.75	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.002000&lon=14.848972&year=2018&datasource=agera5						V3-V4	NT	Europe
Chakraborty-poligraphus5	Chakraborty_et_al_2020	https://www.nature.com/articles/s41598-020-75203-9	Bark Beetle 	Arthropoda	Insecta	Coleoptera	Curculionidae	Polygraphus	Polygraphus_poligraphus	Herbivore	V3-V4	366	50.002	14.849	2018		44.41666667	-4.8	28.8	11.28333333	56.55833333	12052362.92	3.21	77.75	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.002000&lon=14.848972&year=2018&datasource=agera5						V3-V4	NT	Europe
escalasboopsboops1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Boops	Boops_Boops	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasboopsboops2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Boops	Boops_Boops	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasboopsboops3	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Boops	Boops_Boops	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusannularis1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Annularis	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusannularis2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Annularis	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiploduspuntazzo1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Puntazzo	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiploduspuntazzo2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Puntazzo	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodussargus1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Sargus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodussargus2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Sargus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusvulgaris1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Vulgaris	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusvulgaris2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Vulgaris	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusvulgaris3	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Vulgaris	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusvulgaris4	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Vulgaris	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalasdiplodusvulgaris5	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_Vulgaris	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalaspagelluserythrinus1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Pagellus	Pagellus_Erythrinus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalaspagelluserythrinus2	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Pagellus	Pagellus_Erythrinus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalaspagelluserythrinus3	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Pagellus	Pagellus_Erythrinus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalaspagelluserythrinus4	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Pagellus	Pagellus_Erythrinus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
escalaspagruspagrus1	Escalas_et_al_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.622883/full	Porgies	Chordata	Actinopterygii	Perciformes	Sparidae	Pagrus	Pagrus_Pagrus	Carnivore	V3-V4	312	43.5912	3.2584	2018		146.25	1.2	29.3	14.58333333	58.05	14661241.67	3.62	91.41666667	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=43.5912356&lon=3.2583626&year=2018&datasource=agera5						V3-V4	NS	Europe
